X,Y,Z
-1.5665869,0.16757515,-0.4722095
-1.5663298,0.16750106,-0.47251987
-1.5661554,0.16733517,-0.47294
-1.5661038,0.16731718,-0.47314557
-1.5661513,0.16741318,-0.47310546
-1.5662217,0.16760378,-0.47279328
-1.5662203,0.16782644,-0.47232872
-1.5661972,0.16789769,-0.47199118
-1.5661588,0.1680449,-0.47174093
-1.5661244,0.16824631,-0.47160968
-1.566107,0.16850547,-0.47155303
-1.566119,0.16881204,-0.47155237
-1.5661474,0.1691571,-0.47164258
-1.5659459,0.16948825,-0.47156057
-1.5659293,0.1698717,-0.47165924
-1.5659976,0.17029998,-0.47178945
-1.5660614,0.17077257,-0.47193196
-1.5661023,0.17126809,-0.47215235
-1.5661379,0.17176516,-0.47245437
-1.5662032,0.1722616,-0.47279373
-1.5662836,0.17274643,-0.47312903
-1.5662507,0.17319448,-0.47362974
-1.5662128,0.1735508,-0.4742151
-1.5661496,0.17377563,-0.47505248
-1.5660762,0.17390187,-0.4761856
-1.5659466,0.1739873,-0.4775359
-1.5657082,0.17405395,-0.47895473
-1.5654349,0.17399277,-0.48020482
-1.5651467,0.17396286,-0.48154387
-1.564968,0.17389233,-0.48306382
-1.564903,0.17373148,-0.4848964
-1.5651001,0.1733064,-0.4869138
-1.5650661,0.17281781,-0.48936456
-1.5648254,0.17226806,-0.492131
-1.5644331,0.1717034,-0.49515337
-1.563967,0.17115042,-0.4984005
-1.56348,0.1706183,-0.50179577
-1.5630594,0.17024189,-0.50546527
-1.5626117,0.16983761,-0.5089607
-1.5620117,0.16944656,-0.512398
-1.5611321,0.16907504,-0.5158823
-1.5598825,0.16874523,-0.5194037
-1.5582687,0.16851328,-0.52289045
-1.5564275,0.16840251,-0.52626526
-1.5544192,0.16843498,-0.5295814
-1.5522873,0.16855465,-0.5328993
-1.5500757,0.1687077,-0.5362741
-1.5478144,0.16885589,-0.5397438
-1.5455071,0.16899092,-0.54335296
-1.5434284,0.16874118,-0.54706806
-1.5412778,0.16875747,-0.5508641
-1.5391586,0.16892084,-0.5546834
-1.5370452,0.16912815,-0.5585205
-1.5348705,0.16931993,-0.562369
-1.5326447,0.16949718,-0.5661882
-1.5303205,0.16944934,-0.5698558
-1.528098,0.16960429,-0.5733615
-1.5259628,0.1698451,-0.57674766
-1.5238783,0.17007595,-0.58012307
-1.5218183,0.17025454,-0.58358467
-1.5197145,0.17035937,-0.5871336
-1.5178944,0.17036277,-0.59071726
-1.5157641,0.17027894,-0.5943282
-1.5134917,0.17014112,-0.5979587
-1.511172,0.16998829,-0.60160065
-1.5088589,0.16982774,-0.60518354
-1.5065354,0.16965279,-0.60869014
-1.5041528,0.16944994,-0.61217576
-1.5016814,0.16921039,-0.6157132
-1.4990495,0.16877592,-0.61962587
-1.4964473,0.16837825,-0.6234498
-1.4938728,0.1679625,-0.62727827
-1.4913075,0.16753677,-0.6311378
-1.4885777,0.16732073,-0.63513917
-1.4859269,0.16699322,-0.6390897
-1.4833128,0.1666214,-0.6430439
